"ip","hostname","group","description","entitytype","device","vendor","additional_notes","dev"
"8.8.8.8","google-dns-primary","dns","Google Public DNS Primary","external","dns-resolver","Google","","false"
"8.8.4.4","google-dns-secondary","dns","Google Public DNS Secondary","external","dns-resolver","Google","","false"
"1.1.1.1","cloudflare-dns","dns","Cloudflare DNS","external","dns-resolver","Cloudflare","","false"
"1.0.0.1","cloudflare-dns-secondary","dns","Cloudflare DNS Secondary","external","dns-resolver","Cloudflare","","false"
